sector,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,POB0_14,POB15_64,POB65_MAS,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
P-2.1,159061,83367,75693,4487,2169,2318,154440,81132,73308,150928,79418,71510,138117,73134,64983,132191,70244,61947,126092,67283,58809,5415,2655,2760,10908,5343,5565,13418,6604,6814,5926,2890,3036,6099,2961,3138,15895,7858,8037,43023,27292,15783,11509,26736,113517,18674,128140,66058,62082,29648,16638,13010,142949,75279,67670,7411,3864,3547,1198,641,555,3,0,0,1175,627,546,1194,3,1171,2708,3152,1585,1567,8762,4395,3733,1112,2106,1578,1509,21443,7075,13760,1173,5129,1153,4594,2333,127581,1335,629,704,590,269,316,389,166,208,5052,2480,2572,7725,3876,3849,151,42,76,1550,1113,430,1965,1338,623,4093,2639,1454,11222,6745,4477,2772,1219,1553,23042,11722,11320,84732,44024,40708,89061,41135,47926,48890,31919,16971,86778,40271,46507,2283,862,1419,34939,123936,83722,17244,285,7048,13467,373,3680,990,52482,63646,21965,122875,10683,798,24399,49782,19743,30039,158773,58388,100385,55865,49806,54587,48528,49713,49782,4458,1601,158773,49470,177,15048,34612,1725,5300,42634,49638,9,49611,49208,44,42871,32119,49577,7,49630,17,49565,0,49577,23808,87,47584,42526,35747,24468,3852,13947,39384,48254,32330,35076,46109,39019,25203,18548,11756,623,1125,8642,141
P-2.2,67811,36269,31542,1611,791,820,66156,35456,30700,64829,34768,30061,60021,32422,27599,57778,31338,26440,55525,30233,25292,2008,1040,968,4127,1994,2133,5038,2424,2614,2243,1084,1159,2253,1105,1148,6267,3104,3163,17661,14527,8687,5840,9989,47298,10480,55268,29060,26208,11808,6847,4961,61052,32817,28235,3408,1764,1644,500,281,215,0,0,0,494,276,214,500,0,494,998,2014,1055,959,3627,1965,1463,478,961,756,681,8521,2980,5293,442,2226,530,1547,972,55161,419,198,215,179,77,91,115,43,58,1949,968,981,3444,1725,1719,48,15,26,441,322,110,562,421,136,1304,882,422,3907,2506,1401,1020,476,542,7565,3942,3623,41626,21947,19679,37232,17479,19753,22729,14909,7820,36265,17092,19173,967,386,580,14033,53712,37299,9047,125,1209,4397,154,2776,408,23689,26586,9733,52621,4438,408,10211,22271,9504,12767,67359,27060,40299,25297,22278,24910,21891,22241,22271,2012,1007,67359,22176,34,6200,16022,465,1819,19936,22218,0,22169,21819,46,17266,15391,22189,6,22214,4,22162,0,22193,9767,10,21564,19483,16947,11991,1590,4587,18105,21664,15425,16703,20711,18177,12471,9576,5629,240,386,3277,18
P-2.3,135498,71006,64492,3648,1735,1913,131842,69266,62576,128963,67875,61088,118514,62751,55763,113595,60310,53285,108365,57808,50557,4406,2124,2282,8922,4391,4531,10958,5389,5569,4919,2441,2478,5230,2502,2728,14007,6921,7086,36206,24490,13949,10541,21895,96442,17153,108608,56222,52386,26210,14426,11784,122563,64626,57937,5974,3049,2925,961,498,456,3,0,0,949,493,449,961,3,949,2329,2474,1241,1232,7451,3869,2973,843,1805,1221,1213,16938,6002,10674,858,4173,869,3404,2044,110105,969,458,509,473,209,247,306,125,168,4445,2169,2276,7320,3688,3632,87,28,43,1172,838,315,1578,1075,499,3795,2483,1312,10341,6178,4163,2376,1044,1332,19039,9710,9329,72361,37430,34931,73832,33875,39957,44475,28804,15671,71813,33122,38691,2017,752,1265,26462,108959,79596,15111,383,2737,9241,242,2770,971,47231,53940,17300,105827,9182,510,19750,40772,16420,24352,135398,50948,84450,43686,40776,42037,39127,40700,40772,2176,732,135398,40634,46,8829,31870,775,2969,36933,40695,0,40649,40545,44,28899,24298,40667,6,40693,3,40639,0,40672,21140,10,39518,35984,29459,18580,2723,10356,32200,39570,26048,29925,37623,32317,18107,14990,9492,507,767,6676,57
P-2.4,63510,33363,30147,1837,915,922,61493,32358,29135,60089,31670,28419,55025,29229,25796,52706,28098,24608,50216,26845,23371,2148,1027,1121,4320,2102,2218,5271,2563,2708,2319,1131,1188,2490,1253,1237,6190,3113,3077,16890,11515,6668,4847,10624,44684,8022,52494,27205,25289,10329,5828,4501,56433,29811,26622,3373,1722,1651,519,270,247,0,0,0,511,264,245,514,0,506,1138,1139,576,562,3906,1982,1667,421,897,613,600,8935,2896,5806,343,1985,328,1751,946,50057,492,241,251,205,99,94,131,56,67,2106,1068,1036,3017,1566,1451,55,17,22,449,329,120,657,461,196,1514,994,520,4880,2938,1942,1240,531,707,9814,4971,4843,32888,17114,15774,35388,16265,19123,19552,12918,6634,34400,15917,18483,988,347,640,13665,49644,34703,6614,78,504,6713,78,1581,471,21622,24646,8746,49552,4883,412,8428,19451,8062,11389,63492,25399,38093,22384,19453,21733,18802,19416,19451,1917,1014,63492,19318,34,7387,11974,885,2479,15998,19355,0,19277,19247,76,17057,10846,19249,9,19320,35,19255,0,19231,10234,31,18371,16019,13430,8558,1503,4188,15691,18745,11758,12998,17764,14828,9690,7071,4411,239,532,3811,49
P-3.1,91743,47728,44015,3312,1617,1695,88363,46077,42286,85649,44713,40936,76287,40116,36171,72074,37997,34077,67775,35839,31936,4146,2038,2108,7930,3923,4007,9573,4782,4791,4213,2119,2094,4299,2158,2141,10477,5206,5271,25812,11114,6340,4774,19601,64730,7344,77378,39730,37648,13589,7587,6002,82520,43124,39396,2774,1422,1352,746,379,367,0,0,0,724,371,353,743,0,723,1812,1496,772,722,3821,1670,1858,477,856,671,660,8344,2592,5528,469,1880,416,1579,1131,78881,1131,587,544,361,144,213,257,120,134,3504,1803,1701,4341,2220,2121,148,57,74,1257,857,400,1679,1101,576,3243,2001,1242,7655,4388,3267,2071,922,1149,16806,8419,8387,37979,19732,18247,48828,21705,27123,27289,18331,8958,47882,21377,26505,946,327,618,23608,67990,40784,8537,167,878,14128,282,4203,752,28055,38742,9438,75055,4892,521,11088,24709,8507,16202,91734,29123,62611,26687,24710,24331,22354,24689,24709,1514,461,91734,24497,158,7388,17276,1306,3658,19700,24653,6,24586,23725,76,22366,6398,24561,54,24590,60,24507,0,24552,13358,53,22430,20159,16299,10735,1707,1794,19176,23804,13370,16063,22811,17695,10584,7563,4730,435,794,5951,98
P-3.2,120992,63303,57689,4472,2180,2292,116475,61101,55374,113130,59469,53661,101498,53858,47640,96532,51396,45136,91230,48802,42428,5108,2485,2623,9869,4758,5111,11687,5711,5976,4966,2462,2504,5302,2594,2708,14063,7390,6673,35684,14344,7752,6592,24415,87305,9227,98112,49973,48139,18090,10839,7251,106173,55381,50792,4777,2936,1841,1163,727,436,0,0,0,1143,714,429,1156,0,1136,1903,1511,730,781,3698,1663,1648,558,844,747,662,9971,2824,6335,573,2123,475,1805,1234,106212,1384,697,687,622,283,339,375,165,207,4298,2116,2182,6561,3355,3206,183,77,96,1203,786,417,2030,1281,749,3477,2191,1286,7954,4845,3109,2540,1171,1369,17883,9697,8186,59497,30535,28962,68057,31682,36375,32897,21858,11039,66893,31294,35599,1164,388,776,27415,93085,46074,7124,163,650,12886,474,30721,1172,37867,52073,11211,95920,5007,4552,14882,34442,11215,23227,120921,36188,84733,37656,34447,27233,24024,34427,34442,2596,612,120921,34001,349,9253,25144,1518,3638,29240,34381,11,34265,31666,114,28796,17320,34236,63,34299,54,34186,0,34208,11397,23,32274,30097,26580,22493,3053,3191,27180,33500,23922,25639,32586,28134,20777,17067,9695,442,784,5370,58
P-4.1,45699,25162,20537,1167,521,641,39644,22192,17452,38779,21753,17026,35958,20348,15610,34568,19661,14907,33125,18947,14178,1354,653,699,2329,1187,1140,3007,1513,1492,1386,684,702,1442,712,727,4490,2447,2043,11908,8604,4859,3742,6241,28088,6478,26520,13841,12678,11411,7364,4047,32957,18400,14557,4635,2754,1876,667,536,115,0,0,0,651,523,112,667,0,651,343,742,379,353,1199,629,410,162,255,287,259,3354,1055,1901,164,871,235,698,467,35770,138,72,52,71,31,29,59,16,11,1286,630,653,2994,1437,1556,17,6,6,157,108,38,323,248,53,667,542,102,2011,1640,368,473,282,177,3401,2396,1001,26656,13980,12674,23264,12148,11112,12479,8103,4375,23039,12041,10994,216,96,103,6201,34367,10616,1485,33,5379,1302,97,18264,735,14312,16967,4505,31544,1769,2447,4733,13747,4890,8857,44477,13969,30508,15556,13769,11055,9268,13731,13747,1370,408,44477,12015,13,2499,9544,182,537,11304,12047,0,12047,12024,0,10148,8607,12040,0,12044,0,12044,0,12040,1356,3,11936,11531,10717,10602,1149,2134,9642,11856,10802,10758,11823,11429,9768,8652,3843,86,35,458,8
P-4.2,37197,19773,17424,1247,633,612,35948,19138,16810,35063,18679,16384,32538,17443,15095,31615,16996,14619,30728,16556,14172,1372,695,677,2038,1000,1037,2266,1097,1169,923,445,474,886,440,446,2145,1243,902,10503,7292,4168,3124,5580,26295,5320,23279,12061,11218,6912,4323,2589,29653,15788,13865,2303,1386,917,324,253,67,0,0,0,321,250,67,322,0,319,272,938,446,492,993,578,360,179,286,308,248,3237,1214,1843,241,929,288,788,409,32536,248,123,118,134,61,62,60,15,28,790,386,404,1181,615,566,25,4,4,98,77,14,155,117,28,425,314,106,992,770,220,291,163,124,2057,1383,673,26990,13848,13142,23462,11235,12227,8918,6116,2802,23190,11106,12084,270,127,137,4814,32188,12669,1709,43,628,595,156,19984,772,11585,16454,4362,22297,1692,4552,8295,15632,5851,9781,37188,12200,24988,20017,15633,17447,13063,15610,15632,2677,1706,37188,15592,8,5280,10330,261,746,14600,15609,0,15607,15589,0,13959,14423,15601,0,15609,0,15605,0,15601,2718,4,15536,14864,14019,12726,1994,3909,12164,14978,14095,13343,15304,14890,12337,11298,4673,328,28,538,5
P-4.3,84574,44129,40436,2423,1160,1261,82134,42963,39171,80187,42007,38180,73811,38905,34906,71099,37569,33530,68382,36251,32131,2979,1405,1574,5342,2652,2690,6235,3076,3155,2710,1335,1375,2717,1318,1399,7214,3564,3650,23567,14174,8386,5788,13459,61132,9967,61846,31975,29871,16033,9021,7010,71480,37663,33817,5188,2699,2489,644,351,288,3,0,0,635,344,286,644,3,635,1278,1569,846,720,4048,2150,1665,503,1036,778,743,9705,2945,6442,470,2240,523,1786,1121,70207,647,324,313,310,153,145,162,81,72,2255,1134,1121,3511,1741,1770,92,35,50,687,512,162,851,602,235,1704,1100,596,4603,2964,1639,1204,551,648,10321,5362,4956,50449,25842,24607,49841,23007,26834,23814,15829,7985,48715,22572,26143,1125,433,690,17136,67320,42164,6790,171,3212,4522,146,14303,1412,28891,34247,10599,61827,5551,2160,14729,29785,12012,17773,84426,32378,52048,32875,29791,23278,20197,29753,29785,2116,959,84426,29702,35,9798,19952,920,2965,25855,29740,0,29742,29724,0,21204,17817,29724,0,29726,20,29710,0,29706,12429,23,28842,26213,22988,16616,2413,6365,23372,28770,21650,22053,27919,25340,17562,15216,7757,531,684,3609,109
P-4.4,172002,90303,81690,4649,2270,2379,167302,88013,79289,163640,86185,77455,150735,79718,71017,144998,76901,68097,139169,74048,65121,5600,2832,2768,10962,5460,5502,13193,6518,6675,5736,2816,2920,5829,2853,2976,16272,8100,8169,49402,26763,15637,11125,26952,126748,18250,132388,68835,63553,34150,18734,15412,148901,78659,70242,11463,5902,5558,1405,763,640,4,0,0,1388,755,631,1402,4,1385,3112,6349,3277,3069,8025,4079,3423,1004,1803,1415,1339,21761,6637,14499,999,4716,1025,3867,2380,140898,1123,550,571,549,272,272,351,176,162,4976,2478,2498,8572,4328,4240,148,60,63,1159,834,323,1484,1022,462,3238,2192,1044,9558,5978,3576,2634,1257,1375,20812,10897,9913,103219,53168,50051,102910,48538,54372,47589,31063,16526,100786,47650,53136,2124,888,1234,35013,136814,92500,20369,288,5807,11212,250,10814,1458,61905,67604,21139,130145,11293,1379,28873,60579,25283,35296,171752,67782,103970,69807,60601,66246,57038,60475,60579,6069,3137,171752,60335,103,18242,42217,1744,6074,52640,60440,9,60383,60221,68,50223,45168,60287,0,60379,71,60302,0,60272,29268,67,58665,52690,45196,29562,4839,13606,46414,58469,43331,43295,56865,50337,33112,28816,16227,950,1197,8064,157
P-4.5,74998,39627,35369,1692,785,905,72316,38345,33971,70879,37636,33243,66013,35211,30802,63755,34133,29622,61540,33034,28506,2134,1066,1068,4169,2068,2101,5119,2471,2648,2258,1078,1179,2215,1099,1116,6423,3265,3158,20435,14274,8550,5724,10253,53593,10162,58134,30356,27778,13418,7519,5899,65948,35115,30833,3660,1902,1758,544,307,235,0,0,0,541,305,234,543,0,540,1099,1656,842,812,3501,1903,1310,408,861,706,631,8318,3212,4716,479,2207,555,1866,1043,61573,470,223,246,187,97,79,121,49,62,1891,937,954,3446,1753,1693,45,13,20,467,340,122,612,424,183,1498,996,499,3734,2376,1358,1278,609,665,7692,4083,3607,47143,24576,22567,45012,21443,23569,20764,13654,7110,43926,21038,22888,1085,404,681,16536,57332,37136,9093,72,1352,4659,113,7734,739,27399,28636,9854,54841,4371,684,13857,27009,12157,14852,74666,31824,42842,29936,27034,26492,23591,26976,27009,2276,624,74666,26593,30,9167,17478,970,2757,22918,26638,0,26633,26607,6,23959,16855,26600,0,26633,11,26614,0,26596,12576,40,25809,23009,19921,13518,1892,5414,21359,25440,19747,19809,25184,22775,15775,13967,7153,543,420,3096,108
S-1.1,89487,48237,41250,1891,897,992,87587,47332,40255,86078,46585,39493,81296,44228,37068,79257,43255,36002,77188,42183,35005,2254,1101,1153,4037,2003,2034,4756,2300,2456,2039,973,1066,2069,1070,997,6562,3471,3091,24938,19687,11855,7832,10221,65224,14033,64262,34201,30061,19702,11171,8531,77964,42321,35643,5687,3013,2674,759,508,247,0,0,0,756,505,247,753,0,750,886,1925,1016,909,3330,1822,1118,406,818,780,662,8866,3084,4882,425,2478,516,1835,1382,76493,379,177,199,246,112,121,154,70,72,1830,963,865,4195,2144,2051,41,9,9,224,150,57,399,290,103,691,497,192,1716,1298,418,605,329,274,3542,2244,1298,70701,37597,33104,56917,27879,29038,24211,16282,7929,55781,27344,28437,1136,534,601,16648,72742,45679,10309,70,717,1265,151,23104,816,33163,36876,11183,63357,3905,1032,20953,37165,16364,20801,88942,35451,53491,42856,37192,39336,33672,37113,37165,4283,1381,88942,37068,6,11411,25694,621,1710,34774,37101,0,37104,37055,0,32818,35203,37085,0,37100,0,37095,0,37083,9007,6,36836,34161,32277,27693,2775,7929,29753,36036,32914,31035,36259,35144,28526,25840,11934,462,129,1511,12
S-1.2,82280,43792,38488,1927,928,999,80347,42859,37488,78925,42160,36765,74542,40011,34531,72809,39188,33621,71028,38278,32750,2117,1029,1088,3688,1819,1869,4210,2035,2175,1733,823,910,1781,910,871,5768,2927,2841,24334,15586,9493,6093,9465,61699,11110,60464,31677,28787,17445,9812,7633,70329,37673,32656,6244,3285,2959,649,392,256,0,0,0,642,387,254,647,0,640,889,2422,1275,1147,3300,1686,1338,420,837,729,648,10033,3001,6194,484,2488,575,2262,1276,68175,303,140,159,215,93,102,87,29,37,1594,810,784,3545,1761,1784,26,0,9,223,164,49,319,214,96,666,486,174,1734,1217,515,552,296,253,3794,2295,1499,64242,33781,30461,54543,26711,27832,19804,13224,6580,53594,26241,27353,949,470,477,14500,67652,44583,9347,127,674,1981,191,18542,670,30375,34100,9959,57628,3745,814,19861,35311,15385,19926,81537,32624,48913,40012,35360,35652,31000,35274,35311,3503,1149,81537,35191,23,11899,23348,613,2225,32411,35241,0,35244,35213,0,31239,32014,35228,0,35244,3,35231,0,35223,9462,11,34872,31840,29971,25368,2783,6742,27595,34049,31048,28236,34330,33110,25811,24212,11137,522,178,1609,19
S-1.3,125352,66832,58520,2551,1255,1296,122794,65573,57221,120701,64531,56170,113757,61083,52674,110755,59583,51172,107624,58041,49583,3191,1571,1620,5846,2919,2927,6955,3457,3498,3002,1500,1502,3131,1542,1589,9615,4781,4834,36070,24408,14652,9756,14590,93631,17124,95203,49965,45238,25613,14540,11073,110704,59344,51360,7555,3926,3629,1035,598,435,0,0,0,1032,598,432,1035,0,1032,1841,4294,2209,2083,5516,2782,2291,619,1387,1038,1060,15527,4390,10289,583,3465,738,2889,2242,103063,527,254,266,329,170,142,181,80,76,2819,1416,1403,5836,2862,2974,38,19,6,408,295,103,700,470,226,1291,923,366,3303,2301,1002,1020,534,486,7036,4011,3025,94717,49729,44988,80709,39526,41183,32836,21454,11382,79058,38740,40318,1651,786,865,26946,98275,65745,19024,159,852,3228,327,15184,1478,47886,50427,15348,87243,7429,1273,29149,50855,22943,27912,125098,53008,72090,57681,50876,53248,46443,50790,50855,5259,1546,125098,50715,23,15232,35547,929,2909,46941,50771,3,50772,50706,0,47659,46103,50746,0,50770,0,50755,0,50731,18616,25,50021,44683,41223,31262,3814,11126,41018,48759,42471,40275,49125,46270,33730,31450,15663,788,390,3439,46
S-1.4,44693,23857,20836,923,454,469,43766,23400,20366,43063,23073,19990,40415,21801,18614,39210,21220,17990,37935,20588,17347,1063,504,559,2288,1095,1193,2745,1315,1430,1205,581,624,1275,632,643,3804,1874,1930,12300,9372,5576,3796,5479,32652,6558,36049,19063,16986,7859,4392,3467,40425,21752,18673,2213,1107,1106,428,228,198,0,0,0,423,225,196,426,0,421,770,1424,720,704,2294,1242,907,260,546,473,438,5818,2068,3397,221,1421,295,1267,1043,36076,156,75,79,144,74,62,77,27,36,1100,565,535,2240,1127,1113,18,0,9,173,126,41,251,174,75,612,444,168,1496,1051,445,476,230,246,3282,1792,1490,31889,16759,15130,27526,13373,14153,12811,8391,4420,26883,13107,13776,643,266,377,9996,34640,23146,7706,29,326,1952,71,2775,295,16410,17735,6228,31649,3337,294,9297,16796,7331,9465,44581,18019,26562,18959,16806,18611,16458,16778,16796,1579,574,44581,16759,8,5309,11463,271,1001,15503,16773,0,16770,16737,0,15793,13320,16758,0,16772,0,16762,0,16751,6471,0,16445,14769,13457,10025,1286,3160,13409,16226,13331,13016,16055,14738,10316,8812,4579,218,152,1542,17
S-1.5,92341,49314,43027,2027,1035,989,90302,48271,42031,88706,47467,41239,83377,44844,38533,80841,43572,37269,78310,42305,36005,2381,1186,1195,4544,2241,2302,5590,2776,2814,2536,1272,1264,2531,1267,1264,7545,3691,3854,25804,18291,11039,7252,11488,68073,12768,71802,37795,34007,17484,9912,7572,82166,44035,38131,4916,2588,2328,666,402,264,0,0,0,661,398,263,665,0,660,1217,2260,1130,1129,3776,2024,1393,468,902,765,751,10112,3431,5798,442,2623,485,2078,1350,77671,387,183,204,224,111,107,149,81,62,2257,1139,1118,4759,2276,2483,26,6,13,322,222,97,484,329,151,932,677,255,2818,1976,842,761,386,375,6077,3434,2643,67817,35610,32207,57224,27831,29393,26004,16934,9070,55930,27270,28660,1294,560,733,19107,73142,47760,14212,89,624,3457,168,11393,635,33730,37794,11789,65446,6077,719,19943,35926,15514,20412,92101,36637,55464,40485,35941,38121,33577,35890,35926,3579,965,92101,35831,21,10388,25489,557,2101,33215,35876,0,35855,35781,16,33210,32162,35854,0,35865,7,35847,0,35853,11700,16,35422,32066,29581,23633,2697,7809,29141,34715,29925,28802,34591,32524,24225,21725,11160,442,279,2535,26
S-2.1,63253,34473,28780,1280,625,655,61954,33839,28115,60971,33357,27614,57195,31527,25668,55378,30641,24737,53364,29647,23717,1529,749,780,3230,1563,1667,4022,1932,2090,1817,886,931,2014,994,1020,5768,2947,2821,16195,15745,9418,6327,7856,44172,11206,50983,27159,23824,10277,6223,4054,57792,31597,26195,2370,1319,1051,769,501,266,0,0,0,763,498,263,763,0,757,981,1333,696,637,2858,1542,1002,374,792,674,623,6930,2504,3862,358,1877,441,1505,1055,52835,256,102,139,203,78,113,135,69,56,1746,854,892,3502,1762,1740,44,15,22,360,276,63,495,364,127,930,627,303,2638,1758,880,722,343,374,5506,3038,2468,43647,23644,20003,36367,17990,18377,20684,13478,7206,35472,17635,17837,895,353,538,15677,47476,27699,10182,51,464,2955,150,8676,571,22937,25291,8924,46066,2786,486,13699,21597,9672,11925,62454,25638,36816,24011,21645,22278,19912,21549,21597,1775,591,62454,21474,44,5109,16430,444,1209,19878,21529,6,21525,21500,6,19913,15317,21517,0,21526,3,21501,0,21504,6557,7,21137,19544,17404,14670,1886,5359,17743,20650,17376,17713,20557,19251,13684,11726,5480,318,244,1795,23
S-2.2,151507,80545,70962,3294,1632,1662,148157,78885,69272,145451,77514,67937,135110,72398,62712,130043,69966,60077,124585,67288,57297,4118,2060,2058,8929,4427,4502,11268,5530,5738,5067,2432,2635,5458,2678,2780,14393,7117,7276,38777,35540,20566,14974,21408,104289,25754,124398,65065,59333,25892,14809,11083,140234,74794,65440,4697,2485,2212,1081,617,458,5,0,3,1068,610,452,1067,5,1054,2149,2731,1406,1323,8950,4581,3595,1104,2156,1526,1757,19831,6692,12233,922,5211,910,4141,2867,121479,754,387,349,434,179,220,305,120,149,4748,2346,2402,8238,4085,4153,82,9,34,1233,709,512,1696,982,703,2796,1810,969,8460,5326,3131,1984,919,1064,16732,8970,7762,94262,49482,44780,80158,37572,42586,54783,34748,20035,77601,36572,41029,2557,1000,1557,36712,114671,73440,24955,96,3322,8668,223,6795,1164,52239,61884,20957,116555,10920,714,22755,47840,19793,28047,150977,57584,93393,51635,47848,50010,46223,47746,47840,2903,880,150977,47668,25,7633,40095,884,1940,44878,47721,0,47712,47667,7,32585,24689,47698,0,47720,4,47701,0,47697,17748,33,46748,43911,37565,29189,3225,8741,38525,46713,34338,38976,45047,40455,26098,20615,12033,474,613,5710,75
S-2.3,109308,58294,51014,2360,1193,1167,106934,57093,49841,105038,56165,48873,98162,52770,45392,94803,51123,43680,91063,49236,41827,2908,1396,1512,5864,2927,2937,7383,3660,3723,3359,1647,1712,3740,1887,1853,10209,5018,5191,27638,26128,15213,10915,14491,75754,19049,89495,46806,42689,18235,10657,7578,101190,54153,47037,3259,1742,1513,1065,651,407,7,6,0,1049,639,403,1063,7,1047,2188,2128,1086,1038,6050,3219,2242,738,1606,1258,1253,12526,4569,7434,699,3523,857,2777,1898,89736,593,276,301,326,163,142,188,79,94,3249,1640,1607,5791,2819,2972,42,16,25,715,492,207,990,661,324,1923,1291,622,5338,3415,1921,1407,668,736,10359,5744,4615,71958,37646,34312,60121,28239,31882,37814,24432,13382,58501,27564,30937,1620,671,945,27950,81228,51743,15949,88,1138,6719,230,8000,1018,37403,44960,15697,84769,7291,588,16460,35086,14405,20681,108823,41663,67160,38246,35120,36601,33475,35038,35086,2666,449,108823,34939,65,7309,27719,799,1936,32282,35021,0,35004,34936,16,31319,24590,34971,0,34995,32,34964,0,34959,10608,19,34224,31458,28236,23820,3113,7919,29524,34129,26621,28667,33209,30193,21599,16814,9166,357,431,3871,39
S-2.4,130940,68361,62579,3613,1728,1885,127304,66622,60682,124467,65219,59248,114176,60154,54022,109274,57786,51488,104056,55248,48808,4285,2083,2202,8843,4385,4458,10927,5350,5577,4902,2368,2534,5218,2538,2680,16129,7958,8171,36604,21707,12640,9067,21643,93535,15739,99965,51177,48788,28806,16001,12805,118072,61920,56152,5317,2750,2567,3074,1687,1386,24,13,3,3038,1665,1372,3059,23,3024,6198,2257,1206,1050,7051,3529,2863,869,1635,1326,1315,16530,5740,9850,817,3831,715,3645,2234,106278,1023,483,531,263,127,127,226,99,123,4223,2109,2114,8400,4197,4203,132,61,63,1809,1262,538,2343,1581,754,4308,2620,1684,8626,4963,3659,2796,1232,1553,20944,10822,10122,67260,34952,32308,73472,33996,39476,40492,26065,14427,71745,33337,38408,1727,658,1068,36406,94423,51644,21380,98,669,15172,291,7766,931,46524,51379,16209,96654,7949,478,25638,39087,16874,22213,130652,53389,77263,42546,39108,40892,37454,39049,39087,1890,1547,130652,38927,107,12635,26407,3206,4963,30868,39032,6,39008,38834,31,31254,23622,38950,0,38979,58,38941,0,38921,20193,92,36525,31824,26235,17918,2669,6293,30542,36943,24553,26427,36107,30651,17445,14190,7913,942,999,7088,129
